Date,Price
31.07.2024,"457,80"
01.08.2024,"449,40"
02.08.2024,"448,40"
05.08.2024,"438,20"
06.08.2024,"455,80"
07.08.2024,"452,40"
08.08.2024,"438,00"
09.08.2024,"434,40"
12.08.2024,"426,80"
13.08.2024,"424,20"
14.08.2024,"416,00"
15.08.2024,"409,80"
16.08.2024,"405,00"
19.08.2024,"402,40"
20.08.2024,"395,20"
21.08.2024,"381,20"
22.08.2024,"366,00"
23.08.2024,"373,40"
26.08.2024,"379,80"
27.08.2024,"363,40"
28.08.2024,"358,00"
29.08.2024,"361,40"
30.08.2024,"346,40"
02.09.2024,"324,40"
03.09.2024,"328,00"
04.09.2024,"348,00"
05.09.2024,"338,80"
06.09.2024,"349,00"
09.09.2024,"369,40"
10.09.2024,"359,00"
11.09.2024,"339,00"
12.09.2024,"340,60"
